date,Brandov/Waidhaus (DE),Lanžhot (SK),Zásobníky,Český Těšín (PL),Distribuce,Koneční spotřebitelé
2020-01-01,-58.34614600000009,-445.14792,242.620662,-16.264138,,
2020-01-02,75.09339,-522.777275,278.45385500000003,-16.292138,,
2020-01-03,122.06207400000005,-567.502315,272.71415,-0.01434,,
2020-01-04,49.17456200000004,-500.560202,226.50104100000001,0.0,,
2020-01-05,67.48661200000004,-492.634405,237.29899200000003,0.0,,
2020-01-06,105.0451680000001,-504.004695,242.517831,0.0,,
2020-01-07,150.2510890000001,-488.494921,266.663813,0.0,,
2020-01-08,130.55093899999997,-459.79122,253.115574,-0.00018,,
2020-01-09,28.06982000000005,-457.416471,228.687125,0.0,,
2020-01-10,-35.73813599999994,-388.161579,195.824666,0.0,,
2020-01-11,-67.35872500000005,-393.943069,209.477113,0.0,,
2020-01-12,7.7588779999999815,-475.699742,232.041433,0.0,,
2020-01-13,24.737566000000015,-465.009079,248.481999,-0.000757,,
2020-01-14,46.64885700000002,-470.551655,261.076476,-7.803256,,
2020-01-15,115.47998999999993,-526.64584,276.337629,-7.914986,,
2020-01-16,98.27270899999996,-539.460514,276.001174,-7.740763,,
2020-01-17,180.9955420000001,-663.520426,287.821949,-7.891878,,
2020-01-18,206.2534680000001,-682.047555,270.02587300000005,-0.006783,,
2020-01-19,145.17144800000005,-613.745523,267.126006,0.0,,
2020-01-20,116.74344899999994,-561.044533,276.862703,0.0,,
2020-01-21,622.6852809999999,-462.807047,271.86343000000005,0.0,,
2020-01-22,494.5152029999998,-330.058106,290.288616,-0.000112,,
2020-01-23,488.2828720000002,-301.818473,278.383262,0.0,,
2020-01-24,491.14357700000005,-315.934438,270.041543,0.0,,
2020-01-25,525.7801030000002,-381.184445,270.57939799999997,0.0,,
2020-01-26,562.030206,-402.533385,284.281191,-6.5e-05,,
2020-01-27,558.9238950000001,-415.423254,296.341435,-26.348629,,
2020-01-28,736.988567,-569.86887,294.393477,-26.379127,,
2020-01-29,558.7541759999999,-476.452341,304.216722,-0.018742,,
2020-01-30,644.3749690000001,-506.984482,285.218165,0.0,,
2020-01-31,724.1042410000002,-608.335325,226.546198,0.0,,
2020-02-01,752.9708729999999,-589.812491,140.629205,0.0,,
2020-02-02,756.9322129999999,-602.305892,125.197172,0.0,,
2020-02-03,781.8863069999999,-601.171909,136.576309,-0.000877,,
2020-02-04,584.629768,-378.09777,191.84769,-14.482104,,
2020-02-05,590.67443,-325.364671,212.729805,-14.547823,,
2020-02-06,767.418671,-417.806683,229.05028399999998,-14.534718,,
2020-02-07,735.8707880000002,-330.80729,197.019744,-14.673667,,
2020-02-08,733.3885140000001,-444.381793,155.46629,-26.401099,,
2020-02-09,802.940512,-574.013063,151.104741,-26.379953,,
2020-02-10,797.403438,-556.315956,158.304844,-26.411642,,
2020-02-11,710.6951949999999,-458.478055,163.794479,-6.609098,,
2020-02-12,640.3386419999999,-394.470571,160.347706,-11.000196,,
2020-02-13,488.92695100000003,-256.18346,172.029085,-26.372344,,
2020-02-14,503.9262060000001,-267.793335,143.290648,-26.419281,,
2020-02-15,661.5798719999999,-396.54482,102.092254,-19.084346,,
2020-02-16,766.693243,-503.919242,75.653382,-19.222147,,
2020-02-17,700.0888180000001,-489.447679,117.162303,-26.381848,,
2020-02-18,616.8014830000002,-318.511081,110.609427,-26.410654,,
2020-02-19,499.64127499999995,-229.564706,106.022863,-26.387715,,
2020-02-20,511.547423,-262.621618,136.074285,-26.41374,,
2020-02-21,571.2046770000001,-294.999393,124.419218,-26.656833,,
